origin,target_month,horizon,model,actual,predicted
2022-10-01,2023-01-01,3,Holt-Winters (damped),34802,32977.53559706591
2022-10-01,2023-01-01,3,Linear Trend + Exog,34802,31934.66210862971
2022-10-01,2023-01-01,3,Ridge (All Socioeconomic Indicators),34802,31212.680676932367
2022-10-01,2023-01-01,3,Seasonal Naive,34802,21413.0
2022-10-01,2023-01-01,3,Naive,34802,33128.0
2022-11-01,2022-12-01,1,Holt-Winters (damped),33209,32268.73038277989
2022-11-01,2022-12-01,1,Linear Trend + Exog,33209,32845.4338331561
2022-11-01,2022-12-01,1,Ridge (All Socioeconomic Indicators),33209,33379.81044244766
2022-11-01,2022-12-01,1,Seasonal Naive,33209,26427.0
2022-11-01,2022-12-01,1,Naive,33209,37554.0
2022-11-01,2023-01-01,2,Holt-Winters (damped),34802,32642.29852917725
2022-11-01,2023-01-01,2,Linear Trend + Exog,34802,32723.704873983166
2022-11-01,2023-01-01,2,Ridge (All Socioeconomic Indicators),34802,32960.52029996847
2022-11-01,2023-01-01,2,Seasonal Naive,34802,21413.0
2022-11-01,2023-01-01,2,Naive,34802,37554.0
2022-11-01,2023-02-01,3,Holt-Winters (damped),36525,33292.643575611415
2022-11-01,2023-02-01,3,Linear Trend + Exog,36525,33102.49132423123
2022-11-01,2023-02-01,3,Ridge (All Socioeconomic Indicators),36525,33245.35408897523
2022-11-01,2023-02-01,3,Seasonal Naive,36525,24719.0
2022-11-01,2023-02-01,3,Naive,36525,37554.0
2022-12-01,2023-01-01,1,Holt-Winters (damped),34802,35150.86584724575
2022-12-01,2023-01-01,1,Linear Trend + Exog,34802,32770.674012926334
2022-12-01,2023-01-01,1,Ridge (All Socioeconomic Indicators),34802,32868.1320386928
2022-12-01,2023-01-01,1,Seasonal Naive,34802,21413.0
2022-12-01,2023-01-01,1,Naive,34802,33209.0
2022-12-01,2023-02-01,2,Holt-Winters (damped),36525,34899.09318295955
2022-12-01,2023-02-01,2,Linear Trend + Exog,36525,33146.257151711965
2022-12-01,2023-02-01,2,Ridge (All Socioeconomic Indicators),36525,33067.810103229516
2022-12-01,2023-02-01,2,Seasonal Naive,36525,24719.0
2022-12-01,2023-02-01,2,Naive,36525,33209.0
2022-12-01,2023-03-01,3,Holt-Winters (damped),43131,37243.68544806613
2022-12-01,2023-03-01,3,Linear Trend + Exog,43131,34224.00127504243
2022-12-01,2023-03-01,3,Ridge (All Socioeconomic Indicators),43131,33589.11362941654
2022-12-01,2023-03-01,3,Seasonal Naive,43131,31052.0
2022-12-01,2023-03-01,3,Naive,43131,33209.0
2023-01-01,2023-02-01,1,Holt-Winters (damped),36525,34536.6674518432
2023-01-01,2023-02-01,1,Linear Trend + Exog,36525,33411.6823321276
2023-01-01,2023-02-01,1,Ridge (All Socioeconomic Indicators),36525,33737.00903683461
2023-01-01,2023-02-01,1,Seasonal Naive,36525,24719.0
2023-01-01,2023-02-01,1,Naive,36525,34802.0
2023-01-01,2023-03-01,2,Holt-Winters (damped),43131,38181.82873034339
2023-01-01,2023-03-01,2,Linear Trend + Exog,43131,34447.125526579664
2023-01-01,2023-03-01,2,Ridge (All Socioeconomic Indicators),43131,34550.227214256854
2023-01-01,2023-03-01,2,Seasonal Naive,43131,31052.0
2023-01-01,2023-03-01,2,Naive,43131,34802.0
2023-01-01,2023-04-01,3,Holt-Winters (damped),38065,37307.9165910873
2023-01-01,2023-04-01,3,Linear Trend + Exog,38065,34722.170349986576
2023-01-01,2023-04-01,3,Ridge (All Socioeconomic Indicators),38065,34596.41158174351
2023-01-01,2023-04-01,3,Seasonal Naive,38065,27436.0
2023-01-01,2023-04-01,3,Naive,38065,34802.0
2023-02-01,2023-03-01,1,Holt-Winters (damped),43131,39196.17066683154
2023-02-01,2023-03-01,1,Linear Trend + Exog,43131,34825.489365124806
2023-02-01,2023-03-01,1,Ridge (All Socioeconomic Indicators),43131,35964.07809026563
2023-02-01,2023-03-01,1,Seasonal Naive,43131,31052.0
2023-02-01,2023-03-01,1,Naive,43131,36525.0
2023-02-01,2023-04-01,2,Holt-Winters (damped),38065,38360.81554168135
2023-02-01,2023-04-01,2,Linear Trend + Exog,38065,35107.042012341684
2023-02-01,2023-04-01,2,Ridge (All Socioeconomic Indicators),38065,35641.187038283904
2023-02-01,2023-04-01,2,Seasonal Naive,38065,27436.0
2023-02-01,2023-04-01,2,Naive,38065,36525.0
2023-02-01,2023-05-01,3,Holt-Winters (damped),44803,38711.34307798845
2023-02-01,2023-05-01,3,Linear Trend + Exog,44803,36090.10666804798
2023-02-01,2023-05-01,3,Ridge (All Socioeconomic Indicators),44803,36468.680388726054
2023-02-01,2023-05-01,3,Seasonal Naive,44803,29218.0
2023-02-01,2023-05-01,3,Naive,44803,36525.0
2023-03-01,2023-04-01,1,Holt-Winters (damped),38065,40559.93196846187
2023-03-01,2023-04-01,1,Linear Trend + Exog,38065,36099.682381016915
2023-03-01,2023-04-01,1,Ridge (All Socioeconomic Indicators),38065,37572.09315438508
2023-03-01,2023-04-01,1,Seasonal Naive,38065,27436.0
2023-03-01,2023-04-01,1,Naive,38065,43131.0
2023-03-01,2023-04-01,1,SARIMAX,38065,41505.63849002794
2023-03-01,2023-05-01,2,Holt-Winters (damped),44803,41790.19269526863
2023-03-01,2023-05-01,2,Linear Trend + Exog,44803,37084.17456728464
2023-03-01,2023-05-01,2,Ridge (All Socioeconomic Indicators),44803,38195.77864763338
2023-03-01,2023-05-01,2,Seasonal Naive,44803,29218.0
2023-03-01,2023-05-01,2,Naive,44803,43131.0
2023-03-01,2023-05-01,2,SARIMAX,44803,42896.30682452399
2023-03-01,2023-06-01,3,Holt-Winters (damped),44020,42969.93136152068
2023-03-01,2023-06-01,3,Linear Trend + Exog,44020,37379.47241066216
2023-03-01,2023-06-01,3,Ridge (All Socioeconomic Indicators),44020,38864.4522551535
2023-03-01,2023-06-01,3,Seasonal Naive,44020,33199.0
2023-03-01,2023-06-01,3,Naive,44020,43131.0
2023-03-01,2023-06-01,3,SARIMAX,44020,43868.01835073138
2023-04-01,2023-05-01,1,Holt-Winters (damped),44803,39656.13566072595
2023-04-01,2023-05-01,1,Linear Trend + Exog,44803,37343.82903011419
2023-04-01,2023-05-01,1,Ridge (All Socioeconomic Indicators),44803,37084.42173579767
2023-04-01,2023-05-01,1,Seasonal Naive,44803,29218.0
2023-04-01,2023-05-01,1,Naive,44803,38065.0
2023-04-01,2023-05-01,1,SARIMAX,44803,40547.74817118085
2023-04-01,2023-06-01,2,Holt-Winters (damped),44020,41485.0044146124
2023-04-01,2023-06-01,2,Linear Trend + Exog,44020,37634.569318162416
2023-04-01,2023-06-01,2,Ridge (All Socioeconomic Indicators),44020,37930.39427480944
2023-04-01,2023-06-01,2,Seasonal Naive,44020,33199.0
2023-04-01,2023-06-01,2,Naive,44020,38065.0
2023-04-01,2023-06-01,2,SARIMAX,44020,41555.41457212306
2023-04-01,2023-07-01,3,Holt-Winters (damped),36637,40252.10792230998
2023-04-01,2023-07-01,3,Linear Trend + Exog,36637,37526.71111337648
2023-04-01,2023-07-01,3,Ridge (All Socioeconomic Indicators),36637,37641.31789712011
2023-04-01,2023-07-01,3,Seasonal Naive,36637,30405.0
2023-04-01,2023-07-01,3,Naive,36637,38065.0
2023-04-01,2023-07-01,3,SARIMAX,36637,38693.74567020706
2023-05-01,2023-06-01,1,Holt-Winters (damped),44020,44384.06597144952
2023-05-01,2023-06-01,1,Linear Trend + Exog,44020,38599.351051130405
2023-05-01,2023-06-01,1,Ridge (All Socioeconomic Indicators),44020,39160.12147449324
