origin,target_month,horizon,model,actual,predicted
2022-10-01,2022-11-01,1,Auto-ETS,37554,33300.695002366425
2022-10-01,2022-12-01,2,Holt-Winters (damped) [reference],33209,30815.295087442682
2022-10-01,2022-12-01,2,Seasonal Naive [reference],33209,26427.0
2022-10-01,2022-12-01,2,Naive [reference],33209,33128.0
2022-10-01,2022-12-01,2,SARIMAX (No Exog),33209,33261.79981244681
2022-10-01,2022-12-01,2,Auto-ETS,33209,33300.695002366425
2022-10-01,2023-01-01,3,Holt-Winters (damped) [reference],34802,32977.53559706591
2022-10-01,2023-01-01,3,Seasonal Naive [reference],34802,21413.0
2022-10-01,2023-01-01,3,Naive [reference],34802,33128.0
2022-10-01,2023-01-01,3,SARIMAX (No Exog),34802,33261.799812450394
2022-10-01,2023-01-01,3,Auto-ETS,34802,33300.695002366425
2022-11-01,2022-12-01,1,Holt-Winters (damped) [reference],33209,32268.73038277989
2022-11-01,2022-12-01,1,Seasonal Naive [reference],33209,26427.0
2022-11-01,2022-12-01,1,Naive [reference],33209,37554.0
2022-11-01,2022-12-01,1,Auto-ETS,33209,35821.65306504221
2022-11-01,2023-01-01,2,Holt-Winters (damped) [reference],34802,32642.29852917725
2022-11-01,2023-01-01,2,Seasonal Naive [reference],34802,21413.0
2022-11-01,2023-01-01,2,Naive [reference],34802,37554.0
2022-11-01,2023-01-01,2,Auto-ETS,34802,35821.65306504221
2022-11-01,2023-02-01,3,Holt-Winters (damped) [reference],36525,33292.643575611415
2022-11-01,2023-02-01,3,Seasonal Naive [reference],36525,24719.0
2022-11-01,2023-02-01,3,Naive [reference],36525,37554.0
2022-11-01,2023-02-01,3,Auto-ETS,36525,35821.65306504221
2022-12-01,2023-01-01,1,Holt-Winters (damped) [reference],34802,35150.86584724575
2022-12-01,2023-01-01,1,Seasonal Naive [reference],34802,21413.0
2022-12-01,2023-01-01,1,Naive [reference],34802,33209.0
2022-12-01,2023-01-01,1,Auto-ETS,34802,34293.25871370154
2022-12-01,2023-02-01,2,Holt-Winters (damped) [reference],36525,34899.09318295955
2022-12-01,2023-02-01,2,Seasonal Naive [reference],36525,24719.0
2022-12-01,2023-02-01,2,Naive [reference],36525,33209.0
2022-12-01,2023-02-01,2,Auto-ETS,36525,34293.25871370154
2022-12-01,2023-03-01,3,Holt-Winters (damped) [reference],43131,37243.68544806613
2022-12-01,2023-03-01,3,Seasonal Naive [reference],43131,31052.0
2022-12-01,2023-03-01,3,Naive [reference],43131,33209.0
2022-12-01,2023-03-01,3,Auto-ETS,43131,34293.25871370154
2023-01-01,2023-02-01,1,Holt-Winters (damped) [reference],36525,34536.6674518432
2023-01-01,2023-02-01,1,Seasonal Naive [reference],36525,24719.0
2023-01-01,2023-02-01,1,Naive [reference],36525,34802.0
2023-01-01,2023-02-01,1,Auto-ETS,36525,34577.851616775006
2023-01-01,2023-03-01,2,Holt-Winters (damped) [reference],43131,38181.82873034339
2023-01-01,2023-03-01,2,Seasonal Naive [reference],43131,31052.0
2023-01-01,2023-03-01,2,Naive [reference],43131,34802.0
2023-01-01,2023-03-01,2,Auto-ETS,43131,34577.851616775006
2023-01-01,2023-04-01,3,Holt-Winters (damped) [reference],38065,37307.9165910873
2023-01-01,2023-04-01,3,Seasonal Naive [reference],38065,27436.0
2023-01-01,2023-04-01,3,Naive [reference],38065,34802.0
2023-01-01,2023-04-01,3,Auto-ETS,38065,34577.851616775006
