origin,target_month,horizon,model,actual,predicted
2023-04-01,2023-07-01,3,Ridge Regression (10 Indicators),36637,40820.70180423434
2023-05-01,2023-06-01,1,Holt-Winters (damped) [reference],44020,44384.06597144952
2023-05-01,2023-06-01,1,Seasonal Naive [reference],44020,33199.0
2023-05-01,2023-06-01,1,Naive [reference],44020,44803.0
2023-05-01,2023-06-01,1,Ridge Regression (10 Indicators),44020,43554.64777782545
2023-05-01,2023-07-01,2,Holt-Winters (damped) [reference],36637,44301.778284036416
2023-05-01,2023-07-01,2,Seasonal Naive [reference],36637,30405.0
2023-05-01,2023-07-01,2,Naive [reference],36637,44803.0
2023-05-01,2023-07-01,2,Ridge Regression (10 Indicators),36637,42860.44331004415
2023-05-01,2023-08-01,3,Holt-Winters (damped) [reference],47222,45978.56253261267
2023-05-01,2023-08-01,3,Seasonal Naive [reference],47222,33811.0
2023-05-01,2023-08-01,3,Naive [reference],47222,44803.0
2023-05-01,2023-08-01,3,Ridge Regression (10 Indicators),47222,43062.40738125904
2023-06-01,2023-07-01,1,Holt-Winters (damped) [reference],36637,44101.61388591127
2023-06-01,2023-07-01,1,Seasonal Naive [reference],36637,30405.0
2023-06-01,2023-07-01,1,Naive [reference],36637,44020.0
2023-06-01,2023-07-01,1,Ridge Regression (10 Indicators),36637,43039.716852432066
2023-06-01,2023-08-01,2,Holt-Winters (damped) [reference],47222,45727.64188812514
2023-06-01,2023-08-01,2,Seasonal Naive [reference],47222,33811.0
2023-06-01,2023-08-01,2,Naive [reference],47222,44020.0
2023-06-01,2023-08-01,2,Ridge Regression (10 Indicators),47222,43281.22413501718
2023-06-01,2023-09-01,3,Holt-Winters (damped) [reference],42819,47311.41535813572
2023-06-01,2023-09-01,3,Seasonal Naive [reference],42819,34266.0
2023-06-01,2023-09-01,3,Naive [reference],42819,44020.0
2023-06-01,2023-09-01,3,Ridge Regression (10 Indicators),42819,43753.62341725967
2023-07-01,2023-08-01,1,Holt-Winters (damped) [reference],47222,40973.25866518911
2023-07-01,2023-08-01,1,Seasonal Naive [reference],47222,33811.0
2023-07-01,2023-08-01,1,Naive [reference],47222,36637.0
2023-07-01,2023-08-01,1,Ridge Regression (10 Indicators),47222,41205.026474702696
2023-07-01,2023-09-01,2,Holt-Winters (damped) [reference],42819,42291.54096244288
2023-07-01,2023-09-01,2,Seasonal Naive [reference],42819,34266.0
2023-07-01,2023-09-01,2,Naive [reference],42819,36637.0
2023-07-01,2023-09-01,2,Ridge Regression (10 Indicators),42819,41852.05573355382
2023-07-01,2023-10-01,3,Holt-Winters (damped) [reference],46159,42909.294601354704
2023-07-01,2023-10-01,3,Seasonal Naive [reference],46159,33128.0
2023-07-01,2023-10-01,3,Naive [reference],46159,36637.0
2023-07-01,2023-10-01,3,Ridge Regression (10 Indicators),46159,38588.34928258716
2023-08-01,2023-09-01,1,Holt-Winters (damped) [reference],42819,45484.13106966448
2023-08-01,2023-09-01,1,Seasonal Naive [reference],42819,34266.0
2023-08-01,2023-09-01,1,Naive [reference],42819,47222.0
2023-08-01,2023-09-01,1,Ridge Regression (10 Indicators),42819,43518.491699148675
2023-08-01,2023-10-01,2,Holt-Winters (damped) [reference],46159,46088.544849065365
2023-08-01,2023-10-01,2,Seasonal Naive [reference],46159,33128.0
2023-08-01,2023-10-01,2,Naive [reference],46159,47222.0
2023-08-01,2023-10-01,2,Ridge Regression (10 Indicators),46159,40732.1022448404
2023-08-01,2023-11-01,3,Holt-Winters (damped) [reference],49783,47707.199574938655
2023-08-01,2023-11-01,3,Seasonal Naive [reference],49783,37554.0
2023-08-01,2023-11-01,3,Naive [reference],49783,47222.0
2023-08-01,2023-11-01,3,Ridge Regression (10 Indicators),49783,44784.76042635604
2023-09-01,2023-10-01,1,Holt-Winters (damped) [reference],46159,44465.25715063804
2023-09-01,2023-10-01,1,Seasonal Naive [reference],46159,33128.0
2023-09-01,2023-10-01,1,Naive [reference],46159,42819.0
